,Max,AvgMax,Average,AvgMin,Min
2024-01-01,57.983193277310924,52.81046736175244,51.941569924835164,51.132345437859925,47.36842105263158
2024-01-02,57.97728374050042,52.760502599072694,51.89125224696571,51.07483404988098,47.33069232220336
2024-01-03,57.97137420368991,52.71053783639295,51.84093456909626,51.01732266190202,47.29296359177514
2024-01-04,57.96546466687941,52.66057307371321,51.79061689122681,50.95981127392307,47.25523486134692
2024-01-05,57.95955513006891,52.61060831103347,51.74029921335736,50.90229988594412,47.2175061309187
2024-01-06,57.9536455932584,52.560643548353724,51.68998153548791,50.84478849796517,47.17977740049048
2024-01-07,57.947736056447894,52.510678785673974,51.63966385761846,50.78727710998621,47.14204867006225
2024-01-08,57.94182651963739,52.46071402299423,51.58934617974901,50.729765722007265,47.10431993963403
2024-01-09,57.93591698282689,52.41074926031449,51.53902850187956,50.67225433402831,47.06659120920581
2024-01-10,57.93000744601638,52.36078449763475,51.488710824010106,50.61474294604936,47.02886247877759
2024-01-11,57.92409790920588,52.310819734955004,51.438393146140655,50.557231558070406,46.99113374834937
2024-01-12,57.91818837239537,52.26085497227526,51.388075468271204,50.49972017009146,46.95340501792115
2024-01-13,57.912278835584864,52.21089020959552,51.33775779040175,50.4422087821125,46.91567628749293
2024-01-14,57.906369298774365,52.160925446915776,51.2874401125323,50.38469739413355,46.87794755706471
2024-01-15,57.90045976196386,52.110960684236034,51.23712243466285,50.3271860061546,46.84021882663649
2024-01-16,57.89455022515335,52.060995921556284,51.1868047567934,50.26967461817565,46.80249009620826
2024-01-17,57.888640688342846,52.01103115887654,51.13648707892395,50.2121632301967,46.76476136578004
2024-01-18,57.88273115153234,51.9610663961968,51.0861694010545,50.154651842217746,46.72703263535182
2024-01-19,57.87682161472184,51.911101633517056,51.03585172318505,50.0971404542388,46.6893039049236
2024-01-20,57.870912077911335,51.86113687083731,50.985534045315596,50.03962906625984,46.65157517449538
2024-01-21,57.86500254110083,51.81117210815757,50.935216367446145,49.98211767828089,46.61384644406716
2024-01-22,57.85909300429032,51.76120734547783,50.884898689576694,49.92460629030194,46.576117713638936
2024-01-23,57.853183467479816,51.711242582798086,50.83458101170724,49.86709490232299,46.538388983210716
2024-01-24,57.84727393066932,51.66127782011834,50.78426333383779,49.809583514344034,46.500660252782495
2024-01-25,57.84136439385881,51.6113130574386,50.73394565596834,49.752072126365086,46.462931522354275
2024-01-26,57.835454857048305,51.56134829475886,50.68362797809889,49.69456073838613,46.425202791926054
2024-01-27,57.8295453202378,51.51138353207911,50.63331030022944,49.63704935040718,46.38747406149783
2024-01-28,57.82363578342729,51.461418769399366,50.58299262235999,49.579537962428226,46.349745331069606
2024-01-29,57.81772624661679,51.41145400671962,50.53267494449054,49.52202657444928,46.312016600641385
2024-01-30,57.81181670980629,51.36148924403988,50.48235726662109,49.46451518647032,46.274287870213165
2024-01-31,57.80590717299578,51.31152448136014,50.432039588751636,49.407003798491374,46.236559139784944
2024-02-01,57.80590717299578,51.31152448136014,50.432039588751636,49.407003798491374,46.236559139784944
2024-02-02,57.71845130457246,51.31220798322767,50.42375299169206,49.3939256265942,46.138925772605376
2024-02-03,57.63099543614914,51.31289148509521,50.41546639463249,49.380847454697026,46.04129240542581
2024-02-04,57.54353956772582,51.31357498696274,50.40717979757291,49.367769282799856,45.943659038246246
2024-02-05,57.4560836993025,51.314258488830276,50.398893200513335,49.354691110902685,45.84602567106668
2024-02-06,57.368627830879184,51.31494199069781,50.39060660345376,49.34161293900551,45.74839230388711
2024-02-07,57.281171962455865,51.315625492565346,50.38232000639419,49.32853476710834,45.65075893670754
2024-02-08,57.19371609403255,51.31630899443288,50.374033409334615,49.31545659521116,45.55312556952797
2024-02-09,57.10626022560923,51.316992496300415,50.365746812275034,49.30237842331399,45.4554922023484
2024-02-10,57.018804357185914,51.31767599816795,50.35746021521546,49.28930025141682,45.35785883516884
2024-02-11,56.931348488762595,51.318359500035484,50.34917361815589,49.27622207951964,45.26022546798927
2024-02-12,56.843892620339275,51.31904300190302,50.340887021096314,49.26314390762247,45.162592100809704
2024-02-13,56.756436751915956,51.31972650377055,50.332600424036734,49.2500657357253,45.064958733630135
2024-02-14,56.66898088349264,51.32041000563809,50.32431382697716,49.23698756382812,44.96732536645057
2024-02-15,56.58152501506932,51.32109350750562,50.31602722991759,49.22390939193095,44.869691999271
2024-02-16,56.494069146646,51.32177700937315,50.307740632858014,49.21083122003378,44.772058632091436
2024-02-17,56.40661327822268,51.322460511240685,50.29945403579844,49.197753048136605,44.67442526491187
2024-02-18,56.31915740979936,51.32314401310822,50.29116743873886,49.184674876239434,44.5767918977323
2024-02-19,56.23170154137604,51.323827514975754,50.28288084167929,49.171596704342264,44.47915853055273
2024-02-20,56.14424567295272,51.32451101684329,50.27459424461971,49.158518532445086,44.38152516337316
2024-02-21,56.0567898045294,51.32519451871082,50.26630764756014,49.145440360547916,44.2838917961936
2024-02-22,55.96933393610609,51.32587802057836,50.25802105050056,49.132362188650745,44.18625842901403
2024-02-23,55.88187806768277,51.32656152244589,50.249734453440986,49.11928401675357,44.08862506183446
2024-02-24,55.79442219925945,51.32724502431343,50.24144785638141,49.1062058448564,43.990991694654895
2024-02-25,55.70696633083613,51.32792852618096,50.23316125932184,49.09312767295922,43.893358327475326
2024-02-26,55.61951046241281,51.3286120280485,50.224874662262266,49.08004950106205,43.79572496029576
2024-02-27,55.53205459398949,51.32929552991603,50.216588065202686,49.06697132916488,43.698091593116196
2024-02-28,55.44459872556617,51.329979031783566,50.20830146814311,49.0538931572677,43.60045822593663
2024-02-29,55.357142857142854,51.3306625336511,50.20001487108354,49.04081498537053,43.50282485875706
2024-03-01,55.357142857142854,51.3306625336511,50.20001487108354,49.04081498537053,43.50282485875706
2024-03-02,55.357142857142854,51.302892923320826,50.14423976365711,48.96271831081758,43.45928175652874
2024-03-03,55.357142857142854,51.27512331299056,50.088464656230684,48.88462163626463,43.41573865430042
2024-03-04,55.357142857142854,51.247353702660284,50.03268954880426,48.80652496171168,43.37219555207211
2024-03-05,55.357142857142854,51.21958409233001,49.97691444137782,48.72842828715873,43.32865244984379
2024-03-06,55.357142857142854,51.19181448199974,49.921139333951395,48.65033161260578,43.28510934761547
2024-03-07,55.357142857142854,51.16404487166947,49.86536422652497,48.57223493805283,43.24156624538715
2024-03-08,55.357142857142854,51.13627526133919,49.80958911909854,48.49413826349988,43.198023143158835
2024-03-09,55.357142857142854,51.10850565100892,49.75381401167211,48.416041588946925,43.154480040930515
2024-03-10,55.357142857142854,51.08073604067865,49.69803890424568,48.33794491439398,43.110936938702196
2024-03-11,55.357142857142854,51.05296643034838,49.64226379681925,48.25984823984103,43.067393836473876
2024-03-12,55.357142857142854,51.0251968200181,49.58648868939282,48.181751565288074,43.02385073424556
2024-03-13,55.357142857142854,50.997427209687835,49.530713581966396,48.10365489073513,42.980307632017244
2024-03-14,55.357142857142854,50.96965759935756,49.47493847453997,48.025558216182176,42.936764529788924
2024-03-15,55.357142857142854,50.941887989027286,49.41916336711354,47.947461541629224,42.893221427560604
2024-03-16,55.357142857142854,50.91411837869701,49.36338825968711,47.86936486707627,42.84967832533229
2024-03-17,55.357142857142854,50.886348768366744,49.30761315226068,47.791268192523326,42.80613522310397
2024-03-18,55.357142857142854,50.85857915803647,49.25183804483425,47.71317151797037,42.76259212087565
2024-03-19,55.357142857142854,50.830809547706195,49.196062937407824,47.63507484341742,42.71904901864733
2024-03-20,55.357142857142854,50.80303993737593,49.140287829981396,47.556978168864475,42.67550591641901
2024-03-21,55.357142857142854,50.775270327045654,49.08451272255497,47.47888149431152,42.6319628141907
2024-03-22,55.357142857142854,50.74750071671538,49.028737615128534,47.40078481975857,42.58841971196238
2024-03-23,55.357142857142854,50.71973110638511,48.97296250770211,47.322688145205625,42.54487660973406
2024-03-24,55.357142857142854,50.69196149605484,48.91718740027568,47.24459147065267,42.50133350750574
2024-03-25,55.357142857142854,50.66419188572456,48.86141229284925,47.16649479609972,42.45779040527743
2024-03-26,55.357142857142854,50.636422275394295,48.805637185422825,47.088398121546774,42.41424730304911
2024-03-27,55.357142857142854,50.60865266506402,48.7498620779964,47.01030144699382,42.37070420082079
2024-03-28,55.357142857142854,50.58088305473375,48.69408697056997,46.93220477244087,42.32716109859247
2024-03-29,55.357142857142854,50.55311344440347,48.638311863143535,46.85410809788792,42.28361799636416
2024-03-30,55.357142857142854,50.525343834073205,48.58253675571711,46.77601142333497,42.24007489413584
2024-03-31,55.357142857142854,50.49757422374293,48.52676164829068,46.69791474878202,42.19653179190752
2024-04-01,55.357142857142854,50.49757422374293,48.52676164829068,46.69791474878202,42.19653179190752
2024-04-02,55.51170198033513,50.491227210335204,48.49567295093847,46.64804196156647,42.161357267642956
2024-04-03,55.666261103527404,50.48488019692748,48.46458425358626,46.598169174350915,42.1261827433784
2024-04-04,55.82082022671968,50.47853318351975,48.43349555623404,46.548296387135366,42.09100821911384
2024-04-05,55.97537934991196,50.472186170112025,48.40240685888183,46.49842359991981,42.055833694849284
2024-04-06,56.12993847310424,50.4658391567043,48.37131816152962,46.44855081270426,42.02065917058472
2024-04-07,56.28449759629651,50.45949214329657,48.34022946417741,46.39867802548871,41.98548464632016
2024-04-08,56.43905671948879,50.453145129888846,48.3091407668252,46.34880523827316,41.950310122055605
2024-04-09,56.59361584268107,50.446798116481126,48.278052069472984,46.2989324510576,41.91513559779104
2024-04-10,56.748174965873346,50.4404511030734,48.246963372120774,46.249059663842054,41.87996107352648
2024-04-11,56.90273408906562,50.434104089665674,48.215874674768564,46.1991868766265,41.844786549261926
2024-04-12,57.057293212257896,50.42775707625795,48.184785977416354,46.14931408941095,41.809612024997364
2024-04-13,57.211852335450175,50.42141006285022,48.153697280064144,46.099441302195395,41.77443750073281
2024-04-14,57.366411458642446,50.415063049442495,48.122608582711926,46.049568514979846,41.73926297646825
2024-04-15,57.520970581834725,50.40871603603477,48.091519885359716,45.99969572776429,41.704088452203685
2024-04-16,57.675529705027,50.40236902262704,48.060431188007506,45.94982294054874,41.66891392793913
2024-04-17,57.83008882821928,50.396022009219315,48.029342490655296,45.89995015333319,41.63373940367457
2024-04-18,57.98464795141155,50.38967499581159,47.99825379330308,45.85007736611764,41.598564879410006
2024-04-19,58.13920707460383,50.38332798240386,47.96716509595087,45.80020457890208,41.56339035514545
2024-04-20,58.29376619779611,50.376980968996136,47.93607639859866,45.750331791686534,41.52821583088089
2024-04-21,58.44832532098838,50.37063395558841,47.90498770124645,45.70045900447098,41.493041306616334
2024-04-22,58.60288444418066,50.364286942180684,47.87389900389424,45.65058621725543,41.45786678235177
2024-04-23,58.75744356737294,50.357939928772964,47.84281030654202,45.600713430039875,41.42269225808721
2024-04-24,58.91200269056522,50.35159291536524,47.81172160918981,45.550840642824326,41.387517733822655
2024-04-25,59.06656181375749,50.34524590195751,47.7806329118376,45.50096785560877,41.35234320955809
2024-04-26,59.22112093694977,50.338898888549785,47.74954421448539,45.45109506839322,41.31716868529353
2024-04-27,59.375680060142045,50.33255187514206,47.71845551713318,45.40122228117767,41.281994161028976
2024-04-28,59.53023918333432,50.32620486173433,47.68736681978096,45.35134949396212,41.246819636764414
2024-04-29,59.684798306526595,50.319857848326606,47.65627812242875,45.30147670674657,41.21164511249986
2024-04-30,59.83935742971887,50.31351083491888,47.62518942507654,45.251603919531014,41.1764705882353
2024-05-01,59.83935742971887,50.31351083491888,47.62518942507654,45.251603919531014,41.1764705882353
2024-05-02,60.074292756013016,50.53504414220381,47.739429459196835,45.286851793387854,41.1531279178338
2024-05-03,60.30922808230715,50.75657744948873,47.85366949331712,45.322099667244686,41.12978524743231
2024-05-04,60.54416340860129,50.97811075677366,47.96790952743741,45.357347541101525,41.10644257703081
2024-05-05,60.77909873489543,51.19964406405858,48.082149561557706,45.392595414958365,41.08309990662932
2024-05-06,61.01403406118957,51.42117737134351,48.19638959567799,45.4278432888152,41.059757236227824
2024-05-07,61.24896938748371,51.64271067862843,48.310629629798285,45.463091162672036,41.036414565826334
2024-05-08,61.48390471377785,51.86424398591336,48.42486966391857,45.49833903652887,41.01307189542484
2024-05-09,61.71884004007199,52.08577729319829,48.539109698038864,45.53358691038571,40.989729225023346
2024-05-10,61.95377536636612,52.30731060048321,48.65334973215916,45.56883478424255,40.96638655462185
2024-05-11,62.188710692660266,52.52884390776814,48.76758976627944,45.60408265809938,40.94304388422036
2024-05-12,62.42364601895441,52.750377215053064,48.881829800399736,45.63933053195622,40.91970121381886
2024-05-13,62.65858134524854,52.97191052233799,48.99606983452003,45.67457840581306,40.89635854341737
2024-05-14,62.893516671542685,53.193443829622915,49.110309868640314,45.70982627966989,40.87301587301587
2024-05-15,63.12845199783682,53.414977136907844,49.22454990276061,45.74507415352673,40.84967320261438
2024-05-16,63.36338732413096,53.636510444192766,49.3387899368809,45.78032202738356,40.826330532212886
2024-05-17,63.598322650425104,53.858043751477695,49.453029971001186,45.8155699012404,40.80298786181139
2024-05-18,63.83325797671924,54.079577058762624,49.56727000512148,45.85081777509724,40.7796451914099
2024-05-19,64.06819330301337,54.301110366047546,49.681510039241765,45.88606564895407,40.7563025210084
2024-05-20,64.30312862930752,54.522643673332475,49.79575007336206,45.92131352281091,40.73295985060691
2024-05-21,64.53806395560166,54.7441769806174,49.90999010748235,45.95656139666775,40.70961718020541
2024-05-22,64.77299928189579,54.965710287902326,50.02423014160264,45.991809270524584,40.68627450980392
2024-05-23,65.00793460818994,55.187243595187255,50.13847017572293,46.02705714438142,40.662931839402425
2024-05-24,65.24286993448408,55.40877690247218,50.25271020984322,46.06230501823826,40.639589169000935
2024-05-25,65.47780526077821,55.630310209757106,50.36695024396351,46.097552892095095,40.61624649859944
2024-05-26,65.71274058707235,55.85184351704203,50.4811902780838,46.132800765951934,40.59290382819795
2024-05-27,65.9476759133665,56.07337682432696,50.59543031220409,46.16804863980877,40.56956115779645
2024-05-28,66.18261123966063,56.29491013161188,50.70967034632438,46.203296513665606,40.54621848739496
2024-05-29,66.41754656595477,56.51644343889681,50.82391038044467,46.238544387522445,40.52287581699346
2024-05-30,66.65248189224891,56.73797674618173,50.93815041456496,46.27379226137928,40.49953314659197
2024-05-31,66.88741721854305,56.95951005346666,51.05239044868525,46.30904013523612,40.476190476190474
